StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_3,Amount_lost,Number_of_reports
2025-01-01,New South Wales,Email,65 and over,Male,Phishing scams,$26549.99,326
2025-02-01,New South Wales,Email,65 and over,Male,Phishing scams,$3.19,303
2025-03-01,New South Wales,Email,65 and over,Male,Phishing scams,$0.00,318
2025-04-01,New South Wales,Email,65 and over,Male,Phishing scams,$0.00,271
2025-05-01,New South Wales,Email,65 and over,Male,Phishing scams,$0.00,269
2025-06-01,New South Wales,Email,65 and over,Male,Phishing scams,$0.00,227
2025-07-01,New South Wales,Email,65 and over,Male,Phishing scams,$13085.31,339
2025-08-01,New South Wales,Email,65 and over,Male,Phishing scams,$2000.00,271
2025-09-01,New South Wales,Email,65 and over,Male,Phishing scams,$772.81,275
2025-10-01,New South Wales,Email,65 and over,Male,Phishing scams,$3393.40,168
2025-11-01,New South Wales,Email,65 and over,Male,Phishing scams,$0.00,168
2025-01-01,New South Wales,Email,65 and over,Female,Phishing scams,$4999.99,188
2025-02-01,New South Wales,Email,65 and over,Female,Phishing scams,$16800.00,156
2025-03-01,New South Wales,Email,65 and over,Female,Phishing scams,$14.13,184
2025-04-01,New South Wales,Email,65 and over,Female,Phishing scams,$901189.00,182
2025-05-01,New South Wales,Email,65 and over,Female,Phishing scams,$885.00,137
2025-06-01,New South Wales,Email,65 and over,Female,Phishing scams,$0.00,145
2025-07-01,New South Wales,Email,65 and over,Female,Phishing scams,$23352.00,201
2025-08-01,New South Wales,Email,65 and over,Female,Phishing scams,$0.00,161
2025-09-01,New South Wales,Email,65 and over,Female,Phishing scams,$0.00,210
2025-10-01,New South Wales,Email,65 and over,Female,Phishing scams,$9000.20,129
2025-11-01,New South Wales,Email,65 and over,Female,Phishing scams,$0.00,93
2025-02-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,2
2025-06-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,3
