month,state_name,contact_mode,age_group,gender,scam_category,amount_lost,reports,state
2025-01-01,New South Wales,Email,65 and over,Male,Phishing scams,26549.99,326,NSW
2025-02-01,New South Wales,Email,65 and over,Male,Phishing scams,3.19,303,NSW
2025-03-01,New South Wales,Email,65 and over,Male,Phishing scams,0.0,318,NSW
2025-04-01,New South Wales,Email,65 and over,Male,Phishing scams,0.0,271,NSW
2025-05-01,New South Wales,Email,65 and over,Male,Phishing scams,0.0,269,NSW
2025-06-01,New South Wales,Email,65 and over,Male,Phishing scams,0.0,227,NSW
2025-07-01,New South Wales,Email,65 and over,Male,Phishing scams,13085.31,339,NSW
2025-08-01,New South Wales,Email,65 and over,Male,Phishing scams,2000.0,271,NSW
2025-09-01,New South Wales,Email,65 and over,Male,Phishing scams,772.81,275,NSW
2025-10-01,New South Wales,Email,65 and over,Male,Phishing scams,3393.4,168,NSW
2025-11-01,New South Wales,Email,65 and over,Male,Phishing scams,0.0,168,NSW
2025-01-01,New South Wales,Email,65 and over,Female,Phishing scams,4999.99,188,NSW
2025-02-01,New South Wales,Email,65 and over,Female,Phishing scams,16800.0,156,NSW
2025-03-01,New South Wales,Email,65 and over,Female,Phishing scams,14.13,184,NSW
2025-04-01,New South Wales,Email,65 and over,Female,Phishing scams,901189.0,182,NSW
2025-05-01,New South Wales,Email,65 and over,Female,Phishing scams,885.0,137,NSW
2025-06-01,New South Wales,Email,65 and over,Female,Phishing scams,0.0,145,NSW
2025-07-01,New South Wales,Email,65 and over,Female,Phishing scams,23352.0,201,NSW
2025-08-01,New South Wales,Email,65 and over,Female,Phishing scams,0.0,161,NSW
2025-09-01,New South Wales,Email,65 and over,Female,Phishing scams,0.0,210,NSW
2025-10-01,New South Wales,Email,65 and over,Female,Phishing scams,9000.2,129,NSW
2025-11-01,New South Wales,Email,65 and over,Female,Phishing scams,0.0,93,NSW
2025-02-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,2,NSW
2025-06-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,3,NSW
2025-07-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,6,NSW
2025-10-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-09-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-11-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-05-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-01-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,31,NSW
2025-02-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,21,NSW
2025-03-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,43,NSW
2025-04-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,15,NSW
2025-05-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,15,NSW
2025-06-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,72,NSW
2025-07-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,52,NSW
2025-08-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,21,NSW
2025-09-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,6,NSW
2025-10-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,9,NSW
2025-11-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,5,NSW
2025-01-01,New South Wales,Email,Unspecified,Male,Phishing scams,0.0,135,NSW
2025-02-01,New South Wales,Email,Unspecified,Male,Phishing scams,0.0,142,NSW
2025-03-01,New South Wales,Email,Unspecified,Male,Phishing scams,0.0,174,NSW
2025-04-01,New South Wales,Email,Unspecified,Male,Phishing scams,1800.0,165,NSW
2025-05-01,New South Wales,Email,Unspecified,Male,Phishing scams,0.0,227,NSW
2025-06-01,New South Wales,Email,Unspecified,Male,Phishing scams,46500.0,192,NSW
2025-07-01,New South Wales,Email,Unspecified,Male,Phishing scams,0.0,181,NSW
2025-08-01,New South Wales,Email,Unspecified,Male,Phishing scams,0.0,132,NSW
2025-09-01,New South Wales,Email,Unspecified,Male,Phishing scams,0.0,109,NSW
2025-10-01,New South Wales,Email,Unspecified,Male,Phishing scams,2000.0,94,NSW
2025-11-01,New South Wales,Email,Unspecified,Male,Phishing scams,8500.0,77,NSW
2025-01-01,New South Wales,Email,Unspecified,Female,Phishing scams,0.0,185,NSW
2025-02-01,New South Wales,Email,Unspecified,Female,Phishing scams,0.0,175,NSW
2025-03-01,New South Wales,Email,Unspecified,Female,Phishing scams,565.0,134,NSW
2025-04-01,New South Wales,Email,Unspecified,Female,Phishing scams,0.0,146,NSW
2025-05-01,New South Wales,Email,Unspecified,Female,Phishing scams,0.0,163,NSW
2025-06-01,New South Wales,Email,Unspecified,Female,Phishing scams,0.0,196,NSW
2025-07-01,New South Wales,Email,Unspecified,Female,Phishing scams,1000.0,202,NSW
2025-08-01,New South Wales,Email,Unspecified,Female,Phishing scams,99.5,263,NSW
2025-09-01,New South Wales,Email,Unspecified,Female,Phishing scams,0.0,170,NSW
2025-10-01,New South Wales,Email,Unspecified,Female,Phishing scams,3920.33,102,NSW
2025-11-01,New South Wales,Email,Unspecified,Female,Phishing scams,5160.0,129,NSW
2025-01-01,New South Wales,Email,55 - 64,Male,Phishing scams,0.0,81,NSW
2025-02-01,New South Wales,Email,55 - 64,Male,Phishing scams,0.0,94,NSW
2025-03-01,New South Wales,Email,55 - 64,Male,Phishing scams,0.0,88,NSW
2025-04-01,New South Wales,Email,55 - 64,Male,Phishing scams,50.0,70,NSW
2025-05-01,New South Wales,Email,55 - 64,Male,Phishing scams,4000.0,85,NSW
2025-06-01,New South Wales,Email,55 - 64,Male,Phishing scams,18000.0,61,NSW
2025-07-01,New South Wales,Email,55 - 64,Male,Phishing scams,0.0,83,NSW
2025-08-01,New South Wales,Email,55 - 64,Male,Phishing scams,0.0,62,NSW
2025-09-01,New South Wales,Email,55 - 64,Male,Phishing scams,1500.0,71,NSW
2025-10-01,New South Wales,Email,55 - 64,Male,Phishing scams,40.0,49,NSW
2025-11-01,New South Wales,Email,55 - 64,Male,Phishing scams,6200.0,57,NSW
2025-01-01,New South Wales,Email,55 - 64,Female,Phishing scams,0.0,86,NSW
2025-02-01,New South Wales,Email,55 - 64,Female,Phishing scams,14099.0,84,NSW
2025-03-01,New South Wales,Email,55 - 64,Female,Phishing scams,0.0,72,NSW
2025-04-01,New South Wales,Email,55 - 64,Female,Phishing scams,10000.0,80,NSW
2025-05-01,New South Wales,Email,55 - 64,Female,Phishing scams,8940.48,57,NSW
2025-06-01,New South Wales,Email,55 - 64,Female,Phishing scams,0.0,50,NSW
2025-07-01,New South Wales,Email,55 - 64,Female,Phishing scams,3007.09,51,NSW
2025-08-01,New South Wales,Email,55 - 64,Female,Phishing scams,3749.99,72,NSW
2025-09-01,New South Wales,Email,55 - 64,Female,Phishing scams,45100.0,63,NSW
2025-10-01,New South Wales,Email,55 - 64,Female,Phishing scams,172.02,47,NSW
2025-11-01,New South Wales,Email,55 - 64,Female,Phishing scams,294.0,58,NSW
2025-11-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-01-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-04-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,2,NSW
2025-03-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-08-01,New South Wales,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-02-01,New South Wales,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-09-01,New South Wales,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
